year,link,title
 1972-1973 ,/farmworkermovement/essays/essays/111 Quigley_Jack.pdf,Jack Quigley 1972-1973 
 1972-1973 ,/farmworkermovement/essays/essays/112 Grabill_David.pdf,David Grabill 1972-1973
 1972 \2013 1973 ,/farmworkermovement/essays/essays/113 Gagan_Richard.pdf,Richard Gagan 1972 – 1973 
 1972-1973 ,/farmworkermovement/essays/essays/114 Yett_Jane Kiely.pdf, Jane (Kiely) Yett 1972-1973 
 1972 \2013 1974 ,/farmworkermovement/essays/essays/115 Montoya_Claire Walter.pdf,Claire Walter Montoya 1972 – 1974 
 1972 \2013 1975 ,/farmworkermovement/essays/essays/116 Burton_Steven.pdf,Steven Burton 1972 – 1975 
 1972 \2013 1975 ,/farmworkermovement/essays/essays/117 Jaffe_Roberta.pdf,Robbie Jaffe 1972 – 1975 
 1972 \2013 1975 ,/farmworkermovement/essays/essays/118 Pearcy_Susan Due.pdf,Susan Due Pearcy 1972 – 1975 
 1972 \2013 1975 ,/farmworkermovement/essays/essays/119 Pearcy_Glen.pdf,Glen Pearcy 1972 – 1975 
 1972-1976 ,/farmworkermovement/essays/essays/120 Diepenbrock_Martha.pdf,Martha Diepenbrock 1972-1976 
 1972-1976 ,/farmworkermovement/essays/essays/121 Elliott_Nancy.pdf,Nancy Elliott 1972-1976 
 1972-1974 1976 ,/farmworkermovement/essays/essays/122 Coe_Andy.pdf,Andy Coe 1972-1974 1976 
 1972 \2013 1977 ,/farmworkermovement/essays/essays/123 Pitt_Mark.pdf,Mark Pitt 1972 – 1977 
 1972-1978 ,/farmworkermovement/essays/essays/124 Thompson_Bob.pdf,Bob Thompson 1972-1978 
 1972-1977 1980 ,/farmworkermovement/essays/essays/125 Chavez_Aggie Rose.pdf,Aggie Rose Chavez 1972-1977 1980
 1972 \2013 1983 ,/farmworkermovement/essays/essays/126 Cook_Barbara.pdf,"Barbara G. Cook, M.D. 1972 – 1983 "
 1972-1983 ,/farmworkermovement/essays/essays/127 Cook_Richard.pdf,Richard B. Cook 1972-1983 
 1972-1987 ,/farmworkermovement/essays/essays/128 Eggers_Ellen.pdf,Ellen Eggers 1972-1987 
 1972 \2013 1989 ,/farmworkermovement/essays/essays/129 Solinas_Tina.pdf,Tina Solinas 1972 – 1989 
 1972 \2013 1993 ,/farmworkermovement/essays/essays/130 Gilbert Rodriguez.pdf,Gilbert Rodriguez 1972 – 1993 
1973,/farmworkermovement/essays/essays/131 Maxwell_Bob and Liz.pdf,Bob & Liz Maxwell 1973 
1973,/farmworkermovement/essays/essays/132 Rhine_Barbara.pdf,Barbara Rhine 1973 
 1973-1974 ,/farmworkermovement/essays/essays/DAVID STUMP ESSAY.pdf,David Stump 1973-1974
 1973 \2013 1975 ,/farmworkermovement/essays/essays/133 Schenk_Christine.pdf,Christine Schenk 1973 – 1975 
 1973 \2013 1976 ,/farmworkermovement/essays/essays/134 Carrillo_Paul.pdf,Paul Carrillo 1973 – 1976 
 1973 \2013 1976 ,/farmworkermovement/essays/essays/135 Colwell_Kate.pdf,Kate Colwell 1973 – 1976
 1973-1976 ,/farmworkermovement/essays/essays/136 Barber_Bob.pdf,Bob Barber 1973-1976 
 1973-1977 ,/farmworkermovement/essays/essays/137 Tuttle_Barbara _Carroll_.pdf,Barbara (Carroll) Tuttle 1973-1977 
 1973 \2013 1977 ,/farmworkermovement/essays/essays/138 Winograd_Barry.pdf,Barry Winograd 1973 – 1977 
 1973-1977 ,/farmworkermovement/essays/essays/139 Christian_Cathy.pdf,Cathy Christian 1973-1977 
 1973-1978 ,/farmworkermovement/essays/essays/140 Monning_Bill.pdf,Bill Monning 1973-1978 
 1973 \2013 1978 ,/farmworkermovement/essays/essays/141 Cuellar_Edward.pdf,Eddie Cuellar 1973 – 1978 
 1973-1978 ,/farmworkermovement/essays/essays/Marc Sapir Essay.pdf,Marc Sapir 1973-1978 
 1973-1979 ,/farmworkermovement/essays/essays/142 Lambiase_Carol Schoenbrunn.pdf,Carol Schoenbrunn Lambiase 1973-1979
 1973-1980 ,/farmworkermovement/essays/essays/143 Tobin_Father Joe.pdf,"Joe Tobin, C.Ss.R. 1973-1980 "
 1973 \2013 1984 ,/farmworkermovement/essays/essays/144 Bower_Stephanie.pdf,Stephanie Bower 1973 – 1984 
 1973-1988 ,/farmworkermovement/essays/essays/145 Scott_Terry Vasquez.pdf,Terry (Vasquez) Scott 1973-1988 
 1973-1989 ,/farmworkermovement/essays/essays/146 Schneider_Chris.pdf,Chris Schneider 1973-1989 
 1973-1989 ,/farmworkermovement/essays/essays/147 Irrgang_Ken.pdf,Father Ken Irrgang 1973-1989 
1974,/farmworkermovement/essays/essays/148 Berkowitz_Bill.pdf,Bill Berkowitz 1974 
1974-1975 ,/farmworkermovement/essays/essays/First Trial and Other UFW Los Angeles Memories 1974.pdf,Dan Lavery 1974-1975
 1974 \2013 1975 ,/farmworkermovement/essays/essays/149 Zingsem-Eick_Helmut.pdf,Helmut Zingsem-Eick 1974 – 1975
 1974-1975 ,/farmworkermovement/essays/essays/Mary Sanchez Essay.pdf,"Mary Sanchez, 1974-1975"
 1974 \2013 1976 ,/farmworkermovement/essays/essays/150 Bonadies_Despie Fausch.pdf,Despie (Fausch) Bonadies 1974 – 1976
 1974 -1976 ,/farmworkermovement/essays/essays/151 Teufel_Patty.pdf,Patty Teufel 1974 -1976 
 1974 -1976 ,/farmworkermovement/essays/essays/152 Baird_Peter.pdf,Peter Baird 1974 -1976 
 1974 -1977 ,/farmworkermovement/essays/essays/153 Kerksick_Julie.pdf,Julie Kerksick 1974 -1977 
 1974 \2013 1977 ,/farmworkermovement/essays/essays/154 Gardner_John.pdf,John Gardner 1974 – 1977 
 1974 -1977 ,/farmworkermovement/essays/essays/155 Purcell_Carolyn Kristensen.pdf,Carolyn Kristensen Purcell 1974 -1977
 1974 \2013 1977 ,/farmworkermovement/essays/essays/156 Nagle_Thomas.pdf,Thomas Nagle 1974 – 1977
 1974 \2013 1978 ,/farmworkermovement/essays/essays/157 Lacinak_Mike.pdf,Mike Lacinak 1974 – 1978 
 1974 \2013 1978 ,/farmworkermovement/essays/essays/158 Koehler_David.pdf,David Koehler 1974 – 1978 
 1974 \2013 1978 ,/farmworkermovement/essays/essays/159 Boone_David.pdf,Daniel Boone 1974 – 1978 
 1974 \2013 1979 ,/farmworkermovement/essays/essays/160 Wiesenhahn_Dick.pdf,Dick Wiesenhahn 1974 – 1979 
 1974-1986 ,/farmworkermovement/essays/essays/161 Miller_Deborah.pdf,Deborah Miller 1974-1986 
 1974 \2013 1989 ,/farmworkermovement/essays/essays/162 Schroeder_Ken.pdf,Ken Schroeder 1974 – 1989 
 1974 \2013 1993 ,/farmworkermovement/essays/essays/163 Mecartney_Mary.pdf,Mary Mecartney 1974 – 1993 
 1975 \2013 1976 ,/farmworkermovement/essays/essays/164 Longinotti_Rick.pdf,Rick Longinotti 1975 – 1976 
 1975 \2013 1976 ,/farmworkermovement/essays/essays/165 Datz_Robert.pdf,Robert Datz 1975 – 1976 
 1975 -1976 ,/farmworkermovement/essays/essays/166 Carleton_Nancy.pdf,Nancy Carleton 1975 -1976 
 1975 \2013 1977 ,/farmworkermovement/essays/essays/167 Johnson_Bob.pdf,Bob Johnson 1975 – 1977 
 1975 \2013 1977 ,/farmworkermovement/essays/essays/168 O'Connor_Kevin.pdf,Kevin O’Connor 1975 – 1977 
 1975 \2013 1977 ,/farmworkermovement/essays/essays/169 Jones_Peter.pdf,Peter Jones 1975 – 1977 
 1975 \2013 1978 ,/farmworkermovement/essays/essays/170 Sweetland_Jeff.pdf,Jeff Sweetland 1975 – 1978 
 1975 \2013 1979 ,/farmworkermovement/essays/essays/171 Starbird_Ellen.pdf,Ellen M. Starbird 1975 – 1979 
 1975 \2013 1979 ,/farmworkermovement/essays/essays/172 Johangten_Kate.pdf,Kate Johangten 1975 – 1979
 1975 \2013 1980 ,/farmworkermovement/essays/essays/173 Gery_Beth.pdf,Beth Gery 1975 – 1980 
 1975-1977 1985-1987 ,/farmworkermovement/essays/essays/Alberto Escalante Essay.pdf,Alberto Escalante 1975-1977 1985-1987
 1975 \2013 1989 ,/farmworkermovement/essays/essays/174 Smith_Frances.pdf,Frances Smith 1975 – 1989 
 1975 \2013 1993 ,/farmworkermovement/essays/essays/175 Velasco_Dolores.pdf,Dolores Velasco 1975 – 1993 
 1976-1977 ,/farmworkermovement/essays/essays/KATHY JENKINS ESSAY.pdf,Kathy Jenkins 1976-1977
 1976 \2013 1977 ,/farmworkermovement/essays/essays/176 Willett_Dan.pdf,Dan Willett 1976 – 1977 
 1976 \2013 1978 ,/farmworkermovement/essays/essays/177 Milne_Crosby.pdf,Crosby Milne 1976 – 1978 
 1976 \2013 1978 ,/farmworkermovement/essays/essays/178 Guthman_Gary.pdf,Gary Guthman 1976 – 1978
 1976 1979 ,/farmworkermovement/essays/essays/179 Fa_Angie.pdf,Angie Fa 1976 1979 
 1976 \2013 1979 ,/farmworkermovement/essays/essays/180 Atilano-Bradley_Wren.pdf,Wren Atilano Bradley 1976 – 1979 
 1976 \2013 1977 1979 \2013 1980 ,/farmworkermovement/essays/essays/181 Jones_Steve.pdf,Steve Jones 1976 – 1977 1979 – 1980 
 1976 \2013 1980 ,/farmworkermovement/essays/essays/182 Jacobson_Caren.pdf,Caren Jacobson 1976 – 1980 
 1976-1981 ,/farmworkermovement/essays/essays/183 Eilers_Jean.pdf,Jean Eilers 1976-1981 
 1976 \2013 1982 ,/farmworkermovement/essays/essays/184 Sharwood_Mark.pdf,Mark Sharwood 1976 – 1982 
 1977 \2013 1979 ,/farmworkermovement/essays/essays/185 Cooperrider_Rosemary.pdf,Rosemary Cooperrider 1977 – 1979 
 1977 \2013 1979 ,/farmworkermovement/essays/essays/186 Cooperrider_Verne.pdf,Verne Cooperrider 1977 – 1979 
 1977 \2013 1981 ,/farmworkermovement/essays/essays/187 Lopez_Victoria.pdf,Victoria H. Lopez 1977 – 1981 
 1978 \2013 1981 ,/farmworkermovement/essays/essays/188 Matchett_Stephen.pdf,Steve Matchett 1978 – 1981 
 1978- 1979 ,/farmworkermovement/essays/essays/189 Castle_Karen Schlossman.pdf,Karen (Schlossman) Castle 1978- 1979 
 1980-1981 1982 1985 ,/farmworkermovement/essays/essays/190 Templeton_Scott.pdf,Scott Templeton 1980-1981 1982 1985
 1982 \2013 1985 ,/farmworkermovement/essays/essays/191 Coe_Buckner.pdf,Buckner Coe 1982 – 1985 
 1984 \2013 1986 ,/farmworkermovement/essays/essays/192 Thomas_Dan.pdf,Dan Thomas 1984 – 1986 
 1984 \2013 1987 ,/farmworkermovement/essays/essays/193 Thomas_Mila Pefianco.pdf,Mila Pefianco Thomas 1984 – 1987
 1988 1993 ,/farmworkermovement/essays/essays/194 Street_Richard Steven.pdf,Richard Steven Street 1988 1993 
1966,/farmworkermovement/essays/essays/Plan of Delano.pdf,"Luis Valdez, “The Plan of Delano” 1966"
1966,/farmworkermovement/ufwarchives/DalzellArchive/RampartsMagazine/Paul%20Jacobs_001.pdf,"Paul Jacobs, “Clear Away The Dignitaries!” 1966"
1966,/farmworkermovement/essays/essays/Edgar Z. Friedenberg Essay.pdf,"Edgar Z. Friedenberg, “Another America” 1966"
1968,/farmworkermovement/essays/essays/Robert McAfee Brown Introduction La Causa 1968.pdf,"Robert McAfee Brown, “Introduction: La Causa” 1968"
1968,/farmworkermovement/essays/essays/presbyterian.pdf,"Lincoln Richardson, “Cesar Chavez” Presbyterian Life 1968"
1969,"/farmworkermovement/essays/essays/June 18, 1969_001.pdf","Peter Matthiessen, Organize – II” 1969"
1971,/farmworkermovement/essays/essays/REV. JOHN BANK ARTICLE.pdf,"Rev. John Bank, “Cesar Chavez: What He Now Wants For Farm Workers” 1971"
1973,/farmworkermovement/essays/essays/JUAN ROMERO PADRES.pdf,"Father Juan Romero, “UFW Civil Disobedience Campaign” 1973"
1974,/farmworkermovement/essays/essays/HISTORY OF FARMWORKER MOVEMENT BY FRED ROSS.pdf,"Fred Ross, “History of Farmworker Movement” 1974"
